,0
07/03/2016,1
16/11/2010,1
12/09/2016,1
10/04/2017,1
27/05/2016,1
04/01/2016,1
16/11/2016,1
12/01/2009,1
16/03/2016,1
17/05/2007,1
30/06/2017,1
25/01/2017,1
30/06/2014,1
02/09/2010,1
16/11/2018,1
08/06/2015,1
27/11/2015,1
20/01/2017,1
11/04/2018,1
13/05/2015,1
15/12/2017,1
17/03/2008,1
04/08/2017,1
12/08/2015,1
09/03/2015,1
08/04/2015,1
22/08/2016,1
24/06/2016,1
10/03/2014,1
07/05/2014,1
11/12/2015,1
09/11/2015,1
06/05/2010,1
26/11/2018,1
05/11/2009,1
14/01/2019,1
21/06/2017,1
15/01/2014,1
21/01/2010,1
05/11/2014,1
02/01/2016,1
24/12/2012,1
29/12/2008,1
02/05/2018,1
17/06/2016,1
15/03/2017,1
13/09/2017,1
22/02/2016,1
08/04/2013,1
04/10/2013,1
10/04/2015,1
20/12/2004,1
25/09/2017,1
23/04/2018,1
04/01/2010,1
06/08/2014,1
27/03/2017,1
12/08/2010,1
05/12/2018,1
22/06/2009,1
04/06/2012,1
19/03/2018,1
07/02/2018,1
21/05/2018,1
07/07/2017,1
15/04/2010,1
01/12/2003,1
06/02/2013,1
19/04/2013,1
10/02/2017,1
23/11/2015,1
03/12/2014,1
26/01/2018,1
06/01/2016,1
25/03/2013,1
05/10/2012,1
19/02/2016,1
06/06/2016,1
13/10/2017,1
27/08/2018,1
06/04/2015,1
27/09/2017,1
05/06/2015,1
20/02/2015,1
06/08/2018,1
21/05/2014,1
30/03/2013,1
26/02/2014,1
08/02/2012,1
25/06/2014,1
27/04/2016,1
18/06/2014,1
30/08/2004,1
12/04/2017,1
26/12/2011,1
05/12/2011,1
20/11/2015,1
30/10/2008,1
25/11/2013,1
18/02/2010,1
24/06/2013,1
13/11/2017,1
29/04/2016,1
20/07/2015,1
14/08/2017,1
24/08/2015,1
15/03/2019,1
25/07/2011,1
07/12/2018,1
02/05/2012,1
01/02/2019,1
21/09/2015,1
18/07/2014,1
09/10/2015,1
03/08/2018,1
05/03/2011,1
25/08/2014,1
22/10/2007,1
18/02/2015,1
29/03/2019,1
19/03/2014,1
25/04/2016,1
16/11/2017,1
18/04/2016,1
14/06/2017,1
